Czech,Russian
ano,да
ne,нет
"ahoj,čau,nazdar", "привет, пока"
dobrý den,добрый день
dobré ráno,доброе утро
dobrý večer,добрый вечер
dobrou noc,спокойной ночи
jak se máš?,как дела?
jak se máte?,как у вас дела?
výborně,замечательно
skvěle,отлично
dobře,хорошо
jde to,неплохо
nic moc,ничего особенного
špatně,плохо
hrozně,ужасно
odkud jsi?,ты откуда?
odkud jste?,вы oткуда?
cizinec,иностранец
cizinka,иностранка
čech,чех
češka,чешка
rus,русский
ruska,русская
kazach,казах
kazaška,казашка
ukrajinec,украинец
ukrajinka,украинка
kolik je ti let?,cколько тебе лет?
kolik je vám let?,cколько вам лет?
je mi …. let.,мне .... лет.
jak se jmenuješ?,как тебя зовут?
jak se jmenujete?,как вас зовут?
jmenuji,меня зовут ….
děkuju,спасибо
prosím,пожалуйста
není zač,не за что
těší mě.,приятно познакомиться
promiňte, извините
sdovolením!,разрешите! позвольте!
to nic. nic se nestalo.,это ничего. все в порядке
tečka,точка
čárka,запятая
háček,гачек
kroužek,колечко
otazník,вопросительный знак
vykřičník,восклицательный знак
otázka,вопрос
odpověď,ответ
doplňovat,"дополнять, дополнить"
vyslovovat,"произносить, произнести"
číst,"читать, прочитать"
ptát se,"спрашивать, спросить"
děkovat,"благодарить, поблагодарить"
zdravit,"здороваться, поздороваться"
omlouvat se,"просить извинения, извиниться"
spojovat,"соединять, соединить"
rozdělovat,"разделять, разделить"
mluvit,говорить
být,быть
jmenovat se,называться
mít se,поживать
žít,жить
bydlet,"жить, проживать где-то"
jít,идти
jet,ехать
pán,господин
muž,мужчина
hrad,крепость
stroj,машина
předseda,председатель
soudce,судья
žena,женщина
růže,роза
píseň,песня
kost,кость
město,город
moře,море
kuře,цыплёнок
stavení,здание
studovat,учиться
učit se,учиться
poslouchat,"слушать, послушать"
psát,"писать, написать"
sedět,"сидеть, сесть"
stát,стоять
viset,висеть
líbit se,нравиться
ležet,лежать
"vlevo, nalevo","влево, налево"
vedle,рядом
"vpravo, napravo","вправо, направо"
"vpředu, vepředu",впереди
vzadu,сзади
dole,внизу
nahoře,наверху
naproti,напротив
uprostřed,посередине
pod,под
nad,над
za,за
před,перед
v,в
na,на
"kluk, chlapec, hoch","мальчик, юноша"
"slečna, děvče, holka","девушка, девочка"
kamarád,друг
student,студент
žák,ученик
učitel,учитель
uklízeč,уборщик
kamarádka,подруга
studentka,студентка
žákyně,ученица
učitelka,учительница
uklízečka,уборщица
ředitel,директор
studijní oddělení,cтуденческий отдел
stůl,стол
sešit,тетрадь
slovník,словарь
fix,фломастер
počítač,компьютер
cd přehrávač,cd-плеер
magnetofon,магнитофон
rozvrh,расписание
strop,потолок
roh,угол
lustr,люстра
obraz,картина
věšák,вешалка
vypínač,выключатель
škola,школа
stěna,стена
třída,класс
učebna,класс
houba,губка
křída,мел
židle,стул
lavice,парта
skříň,шкаф
police,полка
mapa,карта
lampa,лампа
podlaha,пол
chodba,коридор
"zásuvka, zástrčka",розетка
kniha,книга
učebnice,учебник
tužka,карандаш
propiska,ручка
nástěnka,доска объявлений
kancelář,офис
sborovna,учительская
ředitelna,кабинет директора
místnost,помещение
kolej,общежитие
tabule,доска
guma,резинка
adresa,адрес
budova,здание
jídelna,столовая
umývárna,уборная
pero,перо
poschodí,этаж
přízemí,первый этаж
"toalety, záchody",туалеты
patro,этаж
zábradlí,перила
schody,лестница
šatny,гардероб
umyvadlo,раковина
"přezuvky, přezůvky",домашняя обувь
okno,окно
topení,отопление
dveře,двери
veselý,весёлый
smutný,грустный
čistý,чистый
špinavý,грязный
velký,большой
malý,маленький
vysoký,высокий
nízký,низкий
"plnoštíhlý, tlustý",толстый
"štíhlý, hubený",худой
bohatý,богатый
chudý,бедный
drahý,дорогой
levný,дешёвый
mokrý,мокрый
suchý,сухой
hodný,хороший
zlý,злой
silný,сильный
slabý,слабый
starý,старый
mladý,молодой
hezký,красивый
ošklivý,гадкий
studený,холодный
teplý,тёплый
horký,горячий
sladký,сладкий
slaný,соленый
kyselý,кислый
hořký,горький
prázdný,пустой
plný,полный
zajímavý,интересный
nudný,скучный
barvy,цвета
červená,красный
zelená,зелёный
modrá,синий
bílá,бeлый
černá,чёрный
žlutá,жёлтый
hnědá,коричневый
"starý, zastaralý","старый, устаревший"
oranžová,оранжевый
"nový, moderní","новый, современный"
růžová,розовый
krátký,короткий
dlouhý,длинный
"chytrý, inteligentní",умный
hloupý,глупый
fialová,фиолетовый
světlá,светлый
tmavá,тёмный
moderní,современный
pracovní,рабочий
hračka,игрушка
panenka,кукла
zahraniční,иностранный
televize,телевизор
sobotní,субботний
dopolední,утренний
komoda,комод
nástěnka,доска объявлений
odpolední,послеобеденный
police,полка
první,первый
psí,собачий
lví,львиный
gauč,диван
polička,полочка
křeslo,кресло
záclona,занавеска
žaluzie,жалюзи
sedačka,сиденье
květina,цветок
obrázek,"рисунок, картинка"
postel,кровать
hřeben,расчёска
peřina,одеяло
psací stůl,письменный стол
zeď,стенa
ručník,полотенце (для рук)
tiskárna,типография
stolek,"тумбочка, столик"
fotografie,фотография
koberec,ковёр
knihovna,библиотека
noční stolek,тумбочка
budík,будильник
polštář,подушка
závěs,штора
"plyšový medvěd, plyšák","плюшевый мишка, мягкая игрушка"
kočárek,коляска
povlečení,постельное бельё
zrcadlo,зеркало
oblečení,одежда
autíčko,машинка
hodiny,часы
dům,дом
hala,холл
mrazák,морозильня камера
konvice,чайник
předsíň,прихожая
dřez,раковина (на кухне)
obývací pokoj,гостиная
příbor,столовый прибор
kuchyň,кухня
nůž,нож
ložnice,спальня
koupelna,ванная комната
pracovna,рабочий кабинет
"lžíce, lžička",ложка
vidlička,вилка
nádobí,посуда
dětský pokoj,детская комната
talíř,тарелка
balkón,балкон
střecha,крыша
půda,чердак
sklep,подвал
garáž,гараж
terasa,терраса
zahrada,сад
vchod,вход
východ,выход
zvonek,звонок
zámek,замок
klíč,ключ
výtah,лифт
hrnek,кружка
hrnec,кастрюля
pekáč,противень
pánev,сковородка
mísa,"блюдо (салатница, супница)"
miska,блюдце
sklenice,стакан
ubrus,скатерть
ručník,полотенце (для рук)
kartáček na zuby,зубная щётка
toaletní papír,туалетная бумага
sprcha,душ
vana,ванна
schránka,почтовый ящик
zubní pasta,зубная паста
kuchyňská linka,кухонный гарнитур
umývadlo,раковина
spotřebič,техника (бытовая)
mýdlo,мыло
lednice,холодильник
botník,тумба для обуви
myčka,посудомоечная машина
komín,камин
pračka,стиральная машина
panelový dům,панельный дом
trouba,духовка
sporák,плита
